Text,Tag,Reason
"“Thank you for calling Blend and Sons. If this is an emergency, press one. If it's nonemergency, press two. Thank you for calling blendin Sons. Your call is very important to us. Please stay on the line and we will be right with you. Sam, it why don't you just take it out back? This is Misty. How can I help you? Hi. Yes, I was wondering if we can get a plumber to our house. We have a cracked pipeline in our basement and we have water going everywhere. It's a sewer line. We don't have a plumber on call right now. Do you want me to take a message and have them call you back? I mean, we don't know. We can't tomorrow. We have water going everywhere. Oh, I'm sorry. Yeah, we don't have tomorrow on call tonight. Yeah, it looks like they're backed up. Okay. I mean, we go through you guys. We have your VIP service. Yeah, I'm sorry. They don't have one on call. Okay. All right, thanks. Okay. Sorry. Thank you.”",Existing Customer -  Lead Not Booked,Couldn’t Satisfy Time Requirement
"“Damn it. Thank you for calling Blind and Sons. If this is an emergency, press one. If it's nonemergency, press two. I already know this is $500. I've already asked them to fix it before it you might not be able to turn it. Don't break it. WD 40 before you even try or go get some of your shit. Don't do that. You break it, we're fucked. Thank you for calling blendin Sons. Your call is very important to us. Please stay on the line and we will be right with you're. Sorry. No. Yeah, tomorrow. Where's that cat the guy had on? Remember you? Hey, I'm having, like, a really bad leak from my outside cricket, and I can't turn the water off because the thing is rusted on the inside. I need someone to come out here. Okay, we're here to help you. So it's for a really bad leak on the outside spigot. Yeah. Okay, let's get you may get some information, please, and my service team will give you a call back to get the details and coordinate service as soon as possible. Yes. And then we haven't been to your home today, is that right? Not today, though. Okay. All right? Yes, ma'am. And for plumbing, of course. This is regarding your residence? Yes. Thank you. May I please have your name? Brandy Kutchen. You said brandy. Yes. B-R-A-N-D-I. We're glad you were. Is it I And can you spell your last name, please? K-U-T-C-H-E-N-K-U-T like Tiger. C-H-E-N? Yeah. Thank you, ms. Kutchen, what is the best callback number, please? 904-347-6920. 904-347-6920. Yes. Thank you. And this is regarding a residence? May I have that address, please? 620 Vanita Avenue. Vanita? Yeah. V-I-N-V as in Vic. Yes. V as in boy. V as in Victor. V as in Victor. I-N-I-T-A avenue. Yes. Thank you. And the zip code, please? 44320. Perfect. Lauren, Akron. Yes. Six 20 Vanita Avenue, Akron. 44320. Rest assured. I'm sure you already know, Ms. Kitchen. We're on call 24 hours for you when you need us. Would you like a tech at your home right now? Would what? Would you like a technician at your home right now? Yes, please. Okay, let me send this over immediately. And allow me one moment. Let me just go ahead and get that going for you. Give me just a second. And it's a really bad leak on that spigot. Just a moment. It's slowing down now, but it's still leaking. Okay. All right. Yes, Ms. Katchen. Yes. My apologies. I was getting ready to reach out to the technician, as promised, but I am showing right now. I don't have one on call, but I can take the message for you. They will give you a call back the next day, and they are available on Saturdays, eight to three. I can have the message waiting for them would that be okay? Yeah, that's okay. I'm so sorry, Ms. Ketchup, but yes, I will send that over for you, and you'll be in the best of hands when they give you a call back tomorrow. Okay. Could you have them text me? Because I get so many calls for work. I don't answer them all. Sure. I'll put on here, so texting is best. Yes, sure. And is there a second number you want me to put on here for you, just in case? No, just this one. Okay. I am asking them to please text you. Yes, ma'am. I've put that on there for you. Thank you. You're all set for now. Thank you. Have a good evening. Bye.”",Existing Customer -  Lead Not Booked,CSR Needs to Call Customer Back
"“Thank you for calling Blindensun's Heating, Cooling, Plumbing and Electric. This call may be recorded for answers to many of your questions or to book an appointment online, please visit our website@blindensuns.com. Please listen carefully to the following menu options. Press one for repair or maintenance of an existing furniture, this air conditioner, plumbing, electric or indoor air quality. Press two to schedule an estimate. Thank you for calling Blinden Sons. Your call is very important to us. Please stay on the line and we will be right with you. Hello, Blenden Sons. This is Kennedy. How may I help you? Kennedy, how are you doing? I'm doing good. I'm currently helping the office with their calls at this time. Would you like to leave a message? Yes, I'm calling for plumbing service, please. Yes, sir. May I have your first and last name, please? Is there somebody available to check it out today? Yes, sir. They do have somebody on call 24 hours, so once I leave the message, I'll go ahead and send it over to them. Okay, so somebody can come out and check it out today, right? Yes. They have somebody on call 24 hours. So someone should get back in contact with you to see if they can make it today. Okay, thank you. I appreciate it. May I have your first and last name, please? Ray Johnson. That's Ray. R-A-Y. Yes. Johnson. Johnson. J-O-H-N-S-O-N. Thank you. May I have a phone number? Stay able to contact you, please. 407-32-8530. Thank you. That was 440-732-8530 and may I have an address? Will you'll be using the service at, please? That's 24534 Clear shire Drive. That's a one word, as in Clareshire. Unit C, North Olms, Ohio. 4470. Thank you. What was the unit number again? C as in cat. Yes, sir. Thank you. All right, so I have 24534 clearshire. C-L-E-A-R-S-H-I-R-E. Drive. Unit C and 44070 North Olmstead. Yes. C-L-A-R-E. That's S-H-I-R-E-C-L-A-R-E. Yes, sir. Thank you. S-H-I-R-E. Okay. And then were you at home today? Yes. All right, give me one moment, please. Thank you, honey. And am I able to go ahead and tell the tech what's wrong, what type of service you'll need? Yes. Was it like a drain, a kitchen sink? No, I'm getting a seal leakage, which is a crack in the ceiling that's leaking water from the tub upstairs. And it's coming from downstairs to the dining room area? Yes, sir. Okay. One momentum it. All right, so I'll go ahead and send this over to them, and someone should be on contact with you soon. Okay. Thank you very much, honey. I appreciate it. You're welcome. Thank you for calling. Bye.”",New Customer -  Lead Not Booked,CSR Needs to Call Customer Back
"""Thank you for calling Blindensun's Heating, Cooling, Plumbing and Electric. This call may be recorded for answers to many of your questions or to book an appointment online, please visit our website@blindensuns.com. Please listen carefully to the following menu options press one for repair or maintenance of an existing furnace, air conditioner, plumbing, electric or indoor air quality. Press two to schedule an estimate for a new furnace, air conditioner or generator. Press three for accounting questions, permits or new installation inspections. Thank you for calling Blinden, Sun's, Heating, Cooling, Plumbing and Electric. This call may be recorded for answers to many of your questions or to book an appointment online. Please visit our website@blindinsuns.com. Please listen carefully to the following menu options press one for repair or maintenance of an existing furnace, air conditioner, plumbing, electric or indoor air quality. Press two to schedule an estimate for a new furnace, air conditioner or generator. Press three for accounting questions, permits or new installation inspections. Press one for permits, press two for permits inspection press three. For financing, press four for accounts payable, press five. For accounts receivable, press six for main menu sam. Sam. Sam.”",Other,None
"“Thank you for calling Blinden Suns Heating Cooling. Thank you for calling Blind and Suns. If this is an emergency, press one. If it's none blend and suns. This is Mackenzie. Yes, hi. I wasn't sure if we got disconnected. I was calling about the electrical AC issue. Give me one moment, okay? I can go ahead and take another message for you and get that sent over again. And you're just returning the call? Well, I was on the phone with someone about things and I think we got disconnected before. They took my phone number so that I could get called. If I give you the address, are you able to pull up the previous notes? I just need to add my phone number to it so they know who to call. The callback number was 216-386-1063. Okay. You and I were the ones spoke to you before and I just wasn't sure if we got disconnected. You have everything you need, then, for them to call me? Yes, sir. Okay. All right. Yeah, as soon as they're able to call, that would be wonderful. Thank you. Appreciate it. Thank you. Thank you. Bye.”",Other,None
"“Thank you for calling Blindensun's Heating, Cooling, Plumbing and Electric. This call may be recorded for answers to many of your questions or to book an appointment online, please visit our website@blindinsuns.com. Please listen carefully to the following menu options press one for repair or maintenance of an existing furnace, air conditioner, plumbing, electric or indoor air quality. Press two to schedule an estimate for a new furnace, air conditioner, or generator. Press three for accounting questions, permits, or new installation inspection. Thank you for calling Blind and Sons. If this is an emergency, press one. If it's non emergency, I'm calling because I need to get someone out for an electrical problem and I think it's an emergency and I just want to get an idea of costs involved for that and availability and so forth. I'm sorry I can take your information, but they don't have anybody for emergencies right now. For electrical emergencies. Okay, sure. When do you think might have someone? Perhaps tomorrow. They have hours eight to three. They will reopen. I'm not sure, they haven't let us know. Okay then, sure. Why don't we do that then? Tomorrow would be fine. Your name, please? Even Langell. It's L-A-N-G-E-L. Your phone number, please. 21638 610 63. Got it. Your address please? 19015 Van Aiken Boulevard, apartment four. One two in Shaker Heights. 44122 1 second here, Shaker Heights. And you said again 19015. The first word, V-A-N. After that, what is it? A-K-E-N boulevard. Okay, and then apartment four one two again? Yes, it's four one two in Shaker Heights or 4122. I'm going to let them know then to please call as soon as possible. That would be great. And also if you could add in the note with that because I know that they're owned by the same company, but that PK Wagsworth had come out about an AC issue and then determined that it may be electrical. So they said. I was told to tell you guys this though, that I don't know, one side could talk to the other since they're owned by the same company. Okay, it's in reference to electrical work related to your heating air unit then. Right, but it's beyond that. So yes, it is related to that, but there are also broader seeing these issues as well that are electrical and other that's okay. They would call as soon as possible. I mentioned it's urgent or an emergency. Thank you. Urgent. Thank you then. Thank you.”",New Customer -  Lead Not Booked,CSR Needs to Call Customer Back
"“Thank you for calling Blinden Sun's Heating, Cooling, Plumbing and Electric. This call may be recorded.”",Missed Call,None
"“Thank you for calling Blindensuns Heating, Cooling, Plumbing and Electric. This call may be recorded for answers to many of your questions or to book an appointment online, please visit our website@blindinsuns.com. Please listen carefully to the following menu options press one for repair or maintenance of an existing furnace, air conditioner, plumbing, electric or indoor air quality. Press two to schedule an estimate for a new furnace, air conditioner or generator. Press three for accounting questions, permits, or new installation inspections. Thank you for calling Blind and Sons. If this is an emergency, press one. If it's nonemergency, press two. Your call has been forwarded to the Voicemail for Blind and Sons. No one is available to take your call. At the tone, please.”",Missed Call,None
"“Thank you for calling Blindensun's Heating, Cooling, Plumbing and Electric. This call may be recorded for answers to many of your questions or to book an appointment online, please visit our website@blindensuns.com. Please listen carefully to the following menu options. Press one for repair or maintenance of an existing furnace, air conditioner, plum, electric, or indoor air quality. You are the next caller in the queue. Thank you for calling Blind and Sons. This is Katen. How can I help you? Yeah, I need to get somebody to come out and look at my air conditioner. Okay. And have we been to the home before? No. I would go through my home warranty, but it just always takes forever to get anything fixed to them. Got you. Okay. Yes. So the way that we work is we do have a diagnostic fee to get our technician to the home of 150, and then they would give the upfront pricing from there, and we are looking at Monday as our soonest. Okay. Yeah, that would be good. I won't be home, but somebody else that lives there will be. Okay, and what is the name that you would like on the account? Deborah Bishop. Okay. And the address? 1349 Lockwood Road. And that's Coventry Township. Okay. And the number that you called in from, is that the best one to reach when we're on the way? Yeah, 330-289-0518. Okay. And then the last thing is they are paperless in the field. Do you have an email that you'd like to keep on file? No. Okay. And is the unit not turning on at all or blowing warm air? It's running. I have a feeling the Freon I've lived in my house for 70. I've never had it serviced, so it's probably out of Freon, I would say, because it was working yesterday. And then today after I got home from golf, I'm like it's a little warm in here. And then I looked at the thermometer it was like, 75 in there, which shouldn't be that warm. Got you. Okay, and do you know around how old the air conditioner is, by any chance? I really have no idea. Okay, no worries. And then on Monday, our technicians are routed on location, so I don't have an exact time, but we would give a call when they're on the way, 1000 to 30 minutes beforehand. 15 to 30 minutes. Okay, that sounds good. All right, well, you are all set, and we will give you that call on Monday. Okay, thank you so much. Thanks. Have a good one. All right, you too. Bye.”",New Customer - Lead Booked,None
“You”,Other,None
"“Thank you for calling Blindensuns Heating, Cooling, Plumbing and Electric. This call may be recorded for answers to many of your questions or to book an appointment online, please visit our website@blindensuns.com. Please listen carefully to the following menu options press one for repair or maintenance of an existing furnace, air conditioner, plumbing, electric or indoor air quality. Press two to schedule an estimate for a new furnace, air conditioner or generator. Press three for accounting questions, permits or new installation.”",Missed Call,None
"“Find out when they can. Thank you for calling Blind and Suns Heating, Cooling, Plumbing and Electric. This call may be recorded for answers to many of your questions or to book an appointment online, please visit our website@blindensuns.com. Please listen carefully to the following menu options press one for repair or maintenance of an existing furnace, air conditioner, plumbing, electric, or indoor air quality. Press two to schedule an estimate for a new furnace, air conditioner, or generator. Press three for accounting questions, permits, or new installation inspections. I don't know. One, I guess you are the next caller in the queue. You thank you for calling Blind and Sons. This is Caitlin, how can I help you? Hi, Caitlin. I'm just calling to see about availability to have a hot water tank replaced. Gotcha. Okay, and have we been to the home before? I don't think so. You didn't call And Sons the last time it was done, right? No. Yeah, no. Okay. Yeah. So the way that we work for that, it would be a free estimate. We would send the plumber to the home to give the pricing, and then he would have to order parts and get you on the schedule. Once those come in, we are looking to get an estimate as Monday as our soonest. Okay, well, as far as like, for parts, what if we just get a whole new is it the same thing? Like if we say, take this old one and put a new one in? Same estimate kind of thing? This one's about 1213 years old. Okay, all right, monday it is. Monday it is. Okay, and what is the name that you would like on the account? Put Richard. Last name, customer. K-U-S-M-E-R. All right. And the address? It's 3902. Sheraton drive. And that's Parma, Ohio. 44134, okay. And the number that you called in from, is that the best one to call when we're on? Well, no, let me give you the home. Excuse me. This is my work cell phone and I'm going to be at work on Monday. Richard will be home. The number is 440-340-5683. Okay. And then is there an email that you'd like to keep on file for any receipts or estimates? Sure, you can use my email, which is JRC seven, five, eight@gmail.com. Okay. And then I do apologize. I'm trying to get this street name to come up here. And how do you spell the street name? It's like the hotel. S-H-E-R-A-T-O-N. Okay, sounds good. All right, well, I have you all set then for Monday, and as soon as that plumber is available, we'll give you a call and let you know. It would be sometime after ten, but we will give a call 15 to 30 minutes beforehand. Okay, that's wonderful. That's why I'll make sure Richard we're usually up pretty early and he'll just be sticking around waiting for you guys to call. All right. Sounds good. Okay. Thank you very much, my dear. You have a good weekend. Okay? You too. Thank you. Bye.”",New Customer - Lead Booked,None
"“Thank you for calling Blindensun's Heating, Cooling, Plumbing, and Electric. This call may be recorded for answers to many of your questions or to book an appointment online, please visit our website@blindinsuns.com. Please listen carefully to the following menu options press repair or maintenance of an existing furnace, air conditioner, plumbing, electric, or indoor air quality. Press schedule an estimate for a new furnace, air conditioner, or generator. Press accounting questions, permits, or new installation inspections. You are the next caller in the queue. Thank you for calling Blind and Suns. This is Caitlin. How can I help you? Yeah, hello. I called a couple of weeks ago about getting some plumbing done. Wonder if I could set up a schedule. Okay. Lincoln way east. Yeah. All right, sounds good. And the number that you called in from still the best. Reach you? Yes, that's my cell. Okay, and what is going on at the home with the plumbing? I want to have an outdoor spigot put in. Okay. And to get our technician over, we do have a service call fee. And if you do go with their quoted work, we would cut that in half. So it'd be dollars plus the quote of the estimate. Okay. And we have availability for pardon? Oh, sorry. Go ahead. The old stuff is still there. What happened was there was a shut off valve at the beginning of the pipe. Shut it off, drain it out, and well, I didn't do that one winter, and it froze and busted. So all I got to do is cut the old out and put new in. Got you. Okay. All right. And then the first we have would be on Monday or any day except Tuesday of next week. I'll be here all day Monday. Okay. And on Monday, our technicians are routed on location, so I don't have an exact time as of now. It would be sometime after, but we would give a call when they're on the way, minutes beforehand. Okay. I'll be here. Okay, sounds good. Why have you all set then for the plumber on Monday. Is there anything else I can help you with? You guys take a Visa when they get here, won't they? Yes. They are able to accept cash, card, or check. Whatever works best for you. Okay. All right, I'll see you Monday then. All right, see you then. Have a good day. Thank you. Bye.”",New Customer - Lead Booked,None
"“Thank you for calling Blindensuns Heating, Cooling, Plumbing and Electric. This call may be recorded for answers to many of your questions or to book an appointment online. Please visit our website@blindinsuns.com. Please listen carefully to the following menu options press one for repair or maintenance of an existing furnace, air conditioner, plumbing, electric or indoor air quality. Press two to schedule an estimate for a new furnace, air conditioner or generator. Press three for accounting questions, permits or new installation inspections. Thank you for calling Blinden, Sun's, Heating, Cooling, Plumbing and Electric. This call may be recorded for answers to many of your questions or to book an appointment online. Please visit our website@blindensuns.com. Please listen carefully to the following menu options press one for repair or maintenance of an existing furnace, air conditioner, plumbing, electric or indoor air quality. Press two to schedule an estimate for a new furnace, air conditioner or generator. Press three for accounting questions, permits or new installation inspections. Thank you for calling Blinden, Sun's, Heating, Cooling, Plumbing and Electric. This call may be recorded for answers to many of your questions or to book an appointment online. Please visit our website@blindinsuns.com. Please listen carefully to the following menu options press one for repair or maintenance of an existing furnace, air conditioner, plumbing, electric or indoor air quality. Press two to schedule an estimate for a new furnace air condition. You are the next caller in the queue.”",Missed Call,None
"“Online visibility group calling with an urgent message. Your Google listing has been flagged for review. Thank you for calling Blindensun's Heating, Cooling, Plumbing and Electric. This call may be recorded for answers to many of your questions or to book an appointment online, please visit our website@blindinsuns.com. Please listen carefully to the following menu options press one for repair or maintenance of an existing furnace, air conditioner, plumbing, electric or indoor air.”",Other,None
"“Thank you for calling Blindensun's Heating, Cooling, Plumbing and Electric. This call may be recorded for answers to many of your questions or to book an appointment online, please visit our website@blindensuns.com. Please listen carefully to the following menu options press one for repair or maintenance of an existing furnace, air conditioner, plumbing, electric or indoor air quality. Press two to schedule an estimate for a new furnace, air conditioner or generator. Press three for accounting questions, permits, or new installation inspections. Thank you for calling Blinden Sun's, Heating, Cooling, Plumbing and Electric. This call may be recorded for answers to many of your questions or to book an appointment online. Please visit our website@blindensuns.com. Please listen carefully to the following menu options press one for repair or maintenance of an existing furnace, air conditioner, plumbing, electric or indoor you are the next caller in the queue. Thank you for calling Blinden Sons. This is Katen, how can I help you? I was calling I have an AC system in my attic. It's leaking into my living room, so I'm just calling to see somebody could come out. Got you. Okay, and have we been to the home before? I don't think so. Okay, so the first bill we have, we are looking at Monday as our soonest. Monday? Yeah, I don't think I can wait until then. All right, keep calling around. Okay. All right, thank you. Thank you. Bye.”",New Customer -  Lead Not Booked,Price Shopper
"“Thank you for calling Blindensuns Heating, Cooling, Plumbing and Electric. This call may be recorded for answers to many of your questions or to book an appointment online, please visit our website@blindinsuns.com. Please listen carefully to the following menu options press one for repair or maintenance of an existing furnace, air conditioner, plumbing, electric or indoor air quality. Press two to schedule an estimate for a new furnace, air conditioner or generator. Press three for accounting questions, permits, or new installation inspections.”",Missed Call,None
"“Thank you for calling Blindensun's Heating, Cooling, Plumbing and Electric. This call may be recorded for answers to many of your questions or to book an appointment online, please visit our website@blindensuns.com. Please listen carefully to the following menu options press repair or maintenance of an existing furnace, air conditioner, plumbing, electric or indoor air quality. Press schedule an estimate for a new furnace, air conditioner or generator. Press counting questions, permits or new installation inspections. You are the next caller in the queue. The only time I got bad at Chris was when I was having my contractions. That's the only time I wanted and so IV so I feel like having headphones in. Like I didn't let a player I made a turn off into selling. Now let me it. Go ahead. Go ahead, go. Just nose in. Go ahead, go. Gotta thank you for calling Blenden. This is Katen. How can I help you? Yeah, I've got kind of an unusual request. I have a tankless water heater in my house and I'm selling it, and I don't think it's really helping me get my price. So I wanted to see if it's possible to move it to my condo and put a regular water heater in the house. So I guess I need somebody to give me an estimate on that. Okay, let me see if that's something we are able to do. Is this sharing corps? Yeah, that's where the tank list is. Yeah. Give me just one moment and let me see if that scope of work is something we are able to do. Okay, thanks. Up some sort of load like it all right. Thank you so much for holding. So we actually will not work on that sort of situation. We actually won't take equipment out of the home to move it. Okay. It's not something you could do. Correct. If I take it out and put in my own water heater, are you able to install it in another location then? We cannot. It would have to be supplied through us. Okay. All right, good enough. Thanks. Yeah, thanks. Okay, bye.”",Out of Service Capabilities,None
"“Thank you for calling Blinden Sun's Heating, Cooling, Plumbing and Electric. This call may be recorded.”",Missed Call,None
"“Thank you for calling Blindensuns Heating, Cooling, Plumbing and Electric. This call may be recorded for answers to many of your questions or to book an appointment online, please visit our website@blindensuns.com. Please listen carefully to the following menu options press one for repair or maintenance of an existing furnace, air conditioned, plumbing, electric or indoor air quality. Thank you for calling Blindensuns Heating, Cooling, Plumbing and Electric. This call may be recorded for answers to many of your questions, or to book an appointment online, please visit our website@blindensuns.com. Please listen carefully to the following menu options press one for repair or maintenance of an existing furnace, air conditioner, plumbing, electric or indoor air quality. Press two to schedule an estimate for a new furnace, air conditioner or generator. Press three for accounting questions, permits, or new installation inspections. Thank you for calling Blinden Sun's Heating, Cooling, Plumbing and Electric. This call may be recorded for answers to many of your questions or to book an appointment online. Please visit our website@blindinsuns.com. Please listen carefully to the following menu options press one for repair or maintenance of an existing furnace, air conditioner, plumbing, electric or indoor air quality. Press two to schedule an estimate for a new furnace, air conditioner or generator. Press three for a you are the next caller in the queue. Thank you for calling blendin Suns. This is Heather, how can I help you? Hi, I have a question. Are you based out of the barbadon location? Yeah, we just only have the one office and it is in Barberden. Okay, but you yourself, are you at that location? I am, yes. Okay, great. I live across the street, kind of caddy cornered and I do a pig roast every year and I always get permission from you guys for overflow parking in your parking lot. I would just like the permission again, if it's okay that I use it again for that. Yeah, what day is that going to be on Saturday? Tomorrow. Tomorrow, okay. Yes sir, I will make sure that they are aware of it. But I remember speaking to you last year so I know it shouldn't be an issue. So I do grant you that permission and I will make sure that the general manager knows. Okay, awesome. Thank you so much. And what was your name? My name is Heather. Heather. Thank you so much, Heather, I appreciate it. Yeah, not a problem. Could I just have your phone number real quick? Just in case we ever need it? Absolutely, I'll give you both of my numbers. I have a work phone and a personal phone whenever you're ready. Go right ahead, sir. 330-3518. Actually that's my work phone, so I have to have that one with me at all times. Okay. I can give you my personal line too, if you want it. No, that's fine. This number is fine. And I'm so sorry, did you say it was Jerry? No tod Todd. Sorry. Okay, Tod. Thank you so much. No, you're okay. No worries. Do you want my address, too? Yeah. What's that? 600 Creedmore Avenue. I was getting ready to spell it for you. Nope, I got it. You're good, Tod? Perfect. I have everything I need, and I hope you have a great pig roast. Okay. Awesome. Thank you so much. No problem. Thank you. Bye.”",Other,None
"“Thank you for calling Blindensuns Heating, Cooling, Plumbing and Electric. This call may be recorded for answers to many of your questions or to book an appointment online, please visit our website@blindinsuns.com. Please listen carefully to the following menu options press one for repair or maintenance of an existing furnace, air conditioner, plumbing, electric or indoor air quality. Press two to schedule an estimate for a new furnace, air conditioner or generator. Press three for accounting questions, permits or new installation inspections, you press one. For permits. Press two for permits inspection. Press three. For financing. Press four for accounts payable. Press five. For accounts receivable, press six for main menu.”",Missed Call,None
"“Thank you for calling Blindensun's, Heating, Cooling, Plumbing and Electric. This call may be recorded for answers to many of your questions or to book an appointment online. Please visit our website@blindensuns.com. Please listen carefully to the following menu options press press one for repair or maintenance of an existing furnace, air conditioner, plumbing, electric or indoor air quality. Press two to schedule an estimate for a new furnace, air conditioner, or generator. Press three for accounting questions, permits, or new installation inspections. Thank you for calling Blindensuns, Heating, Cooling, Plumbing and Electric.”",Other,None
"“Thank you for calling Blindensun's Heating, Cooling, Plumbing and Electric. This call may be recorded for answers to many of your questions or to book an appointment online, please visit our website@blindensuns.com. Please listen carefully to the following menu options press one for repair or maintenance of an existing furnace, air conditioner, plumbing, electric or indoor air quality. Press two to schedule an estimate for a new furnace, air conditioner or generator. Press three for accounting questions, permits, or new installation inspections. Thank you for calling Blinden, Sun's, Heating, Cooling, Plumbing and Electric. This call may be recorded for answers to many of your questions or to book an appointment online. Please visit our website@blindensuns.com. Please listen carefully to the following menu options press one for repair or maintenance of an existing furnace, air conditioner, plumbing, electric or indoor air quality. Press two to schedule an estimate for a new furnace, air conditioner or generator. Press three for accounting questions, permits or new installation inspections you press one for permits. Press two for permits inspection. Press three. For financing. Press four for accounts payable. Press five. For accounts receivable, press six for main menu.”",Other,None
"“Thank you for calling Blinden Sun's Heating, Cooling, Plumbing and Electric. This call may be recorded for answers to many of your questions or to book an appointment online, please.”",Missed Call,None
